Serie,Modelo,Local,
GQ3CLB2,"MONITOR DELL 19,5 POLEGADAS",CSDT,
CN0F8NDP7426115U23VU,"MONITOR DELL 21,5 POLEGADAS",CSDT,
CN0XTXXK7287254FA73L,"MONITOR DELL 21,5 POLEGADAS",CSDT,
BR0X34PF0759127U3B1M,MONITOR DELL E1912HC,CSDT,
BR0X34PF0759127U3YRM,MONITOR DELL E1912HC,CSDT,
SVA172741,"MONITOR LENOVO 18,5 POLEGADAS",CSDT,
SVA174310,MONITOR LENOVO THINKVISION S22E19,CSDT,
SVA175560,MONITOR LENOVO THINKVISION S22E19,CSDT,
SVA175616,MONITOR LENOVO THINKVISION S22E19,CSDT,
108SPWQ05649,"MONITOR LG 18,5 POLEGADAS",CSDT,
P1221005055,"MONITOR LG 18,5 POLEGADAS",CSDT,
009SPSL08062,"MONITOR LG 19,5 POLEGADAS",CSDT,
608SPCA01115,"MONITOR LG 19,5 POLEGADAS",CSDT,
FX0A1533051943,"MONITOR PHILIPS 18,5 POLEGADAS",CSDT,
FX0A1533052045,"MONITOR PHILIPS 18,5 POLEGADAS",CSDT,
FX0A1533055560,"MONITOR PHILIPS 18,5 POLEGADAS",CSDT,
FX0A1536054502,"MONITOR PHILIPS 18,5 POLEGADAS",CSDT,
FX0A1536054510,"MONITOR PHILIPS 18,5 POLEGADAS",CSDT,
2323240030549,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030105,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030106,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030107,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030108,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030111,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030141,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030142,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030143,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030144,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030161,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030162,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030163,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030164,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030174,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
2417140030175,NOBREAK 600VA TS SHARA 1BS BIVOLT 6T PRETO,CSDT,
